Time Stamp,X_Acc,Y_Acc,Z_Acc,X_Orient,Y_Orient,Z_Orient
'21-Oct-2021 12:25:35.533',1.160519,-3.803092,7.93789,84.336929,16.077943,-2.385943
'21-Oct-2021 12:25:35.552',1.052842,-3.646064,8.57468,86.05022,14.340899,-2.2773
'21-Oct-2021 12:25:35.571',0.696012,-3.461816,8.573483,87.772432,12.725208,-1.885154
'21-Oct-2021 12:25:35.590',0.183649,-2.957828,7.854141,89.531936,11.160602,-1.560317
'21-Oct-2021 12:25:35.609',-0.115753,-2.135594,7.299904,91.331691,9.646456,-1.529264
'21-Oct-2021 12:25:35.628',-0.260519,-1.465006,7.55115,93.164784,8.226135,-1.504431
'21-Oct-2021 12:25:35.647',-0.523729,-1.101297,8.288439,94.95831,6.971011,-1.215079
'21-Oct-2021 12:25:35.666',-0.79681,-0.986441,8.405986,96.680296,5.860687,-0.821708
'21-Oct-2021 12:25:35.685',-0.855434,-0.848555,7.601399,98.308245,4.815994,-0.656928
'21-Oct-2021 12:25:35.704',-0.827917,-0.62004,7.25444,99.853664,3.799727,-0.778218
'21-Oct-2021 12:25:35.723',-0.926022,-0.423829,7.500901,101.295763,2.894827,-0.871791
'21-Oct-2021 12:25:35.742',-1.122234,-0.340977,7.715058,102.632622,2.158534,-0.718558
'21-Oct-2021 12:25:35.761',-1.412064,-0.383151,7.389635,103.832488,1.575644,-0.440174
'21-Oct-2021 12:25:35.780',-1.424029,-0.346959,6.770791,104.884597,1.117789,-0.209056
'21-Oct-2021 12:25:35.799',-1.200001,-0.095713,6.524031,105.82275,0.802676,-0.013183
'21-Oct-2021 12:25:35.818',-1.404886,0.274277,7.145267,106.651177,0.697265,0.225244
'21-Oct-2021 12:25:35.837',-1.652543,0.312562,8.736196,107.379856,0.851874,0.527339
'21-Oct-2021 12:25:35.856',-1.311566,-0.193819,10.235,107.979123,1.224869,1.023474
'21-Oct-2021 12:25:35.875',-0.86022,-0.85334,10.543973,108.430421,1.688419,1.740726
'21-Oct-2021 12:25:35.894',-0.991825,-1.080958,10.270892,108.79751,2.14177,2.369107
'21-Oct-2021 12:25:35.913',-1.404886,-0.962513,10.035199,109.189583,2.528865,2.783703
'21-Oct-2021 12:25:35.932',-1.596312,-0.805484,10.245768,109.575284,2.870541,3.12559
'21-Oct-2021 12:25:35.951',-1.479064,-0.699003,10.607383,109.859037,3.201929,3.491551
'21-Oct-2021 12:25:35.970',-1.45035,-0.596112,10.865808,110.04251,3.497706,3.843782
'21-Oct-2021 12:25:35.989',-1.674079,-0.615255,10.786844,110.188881,3.731167,4.049932
'21-Oct-2021 12:25:36.008',-1.426421,-0.655932,10.427622,110.322916,3.87947,4.035145
'21-Oct-2021 12:25:36.027',-0.870987,-0.501595,10.130912,110.407788,3.914696,3.940535
'21-Oct-2021 12:25:36.046',-0.734597,-0.294317,10.184751,110.446761,3.890512,3.889154
'21-Oct-2021 12:25:36.065',-1.134198,-0.283549,10.249356,110.493842,3.842367,3.909712
'21-Oct-2021 12:25:36.084',-1.355833,-0.361316,9.932009,110.554262,3.775548,3.988671
'21-Oct-2021 12:25:36.103',-1.073181,-0.251246,9.654441,110.58273,3.684362,4.072347
'21-Oct-2021 12:25:36.122',-0.946361,-0.143569,9.516854,110.563885,3.580561,4.169791
'21-Oct-2021 12:25:36.141',-1.14018,-0.20339,9.479765,110.533771,3.489961,4.24562
'21-Oct-2021 12:25:36.160',-1.14018,-0.324227,9.443872,110.524243,3.423758,4.291006
'21-Oct-2021 12:25:36.179',-1.094716,-0.398704,9.500104,110.514954,3.39061,4.339363
'21-Oct-2021 12:25:36.198',-1.315155,-0.734896,10.012467,110.512468,3.390359,4.393698
'21-Oct-2021 12:25:36.217',-1.831107,-1.119243,9.642477,110.501765,3.402852,4.405689
'21-Oct-2021 12:25:36.236',-0.979861,-0.362513,8.269296,110.426742,3.268555,4.319864
'21-Oct-2021 12:25:50.220',0.314058,-9.77139,2.888735,36.243306,75.846123,-34.77876
'21-Oct-2021 12:25:50.239',0.679263,-9.646963,2.418246,36.966763,75.933822,-34.9396
'21-Oct-2021 12:25:50.258',1.311267,-9.578768,1.951347,36.563058,75.982166,-34.615457
'21-Oct-2021 12:25:50.277',1.645365,-9.480662,1.651048,35.800252,75.999153,-34.297423
'21-Oct-2021 12:25:50.296',1.609472,-9.393325,1.569692,35.442326,75.977856,-34.461784
'21-Oct-2021 12:25:50.315',1.446461,-9.487841,1.654637,35.684542,75.933508,-35.053924
'21-Oct-2021 12:25:50.334',1.400998,-9.594321,1.785046,36.244822,75.932388,-35.741816
'21-Oct-2021 12:25:50.353',1.399801,-9.541679,2.009971,36.822906,76.031009,-36.192302
'21-Oct-2021 12:25:50.372',1.289731,-9.560822,2.224428,37.283004,76.221728,-36.29973
'21-Oct-2021 12:25:50.391',1.109073,-9.703195,2.356033,37.692621,76.44946,-36.221514
'21-Oct-2021 12:25:50.410',0.968794,-9.786943,2.430211,38.119494,76.66427,-36.14587
'21-Oct-2021 12:25:50.429',0.989133,-9.721141,2.443371,38.531037,76.835216,-36.126592
'21-Oct-2021 12:25:50.448',1.171287,-9.535697,2.354837,38.845185,76.952128,-36.145344
'21-Oct-2021 12:25:50.467',1.414158,-9.386146,2.10688,38.987843,77.023702,-36.204459
'21-Oct-2021 12:25:50.486',1.59033,-9.518948,1.969293,38.954515,77.05454,-36.237251
'21-Oct-2021 12:25:50.505',1.646561,-9.655338,1.917847,38.903859,77.074368,-36.280271
'21-Oct-2021 12:25:50.524',1.626222,-9.568001,2.182553,39.023797,77.112699,-36.375289
'21-Oct-2021 12:25:50.543',1.548156,-9.435199,2.626422,39.351288,77.186834,-36.467077
'21-Oct-2021 12:25:50.562',1.496711,-9.52134,2.821736,39.812592,77.303794,-36.526964
'21-Oct-2021 12:25:50.581',1.538585,-9.643374,2.775076,40.179868,77.429511,-36.441757
'21-Oct-2021 12:25:50.600',1.60349,-9.552447,2.742773,40.356634,77.516971,-36.180892
'21-Oct-2021 12:25:50.619',1.614258,-9.363414,2.769094,40.568851,77.541977,-36.03825
'21-Oct-2021 12:25:50.638',1.642972,-9.206385,2.766701,40.957233,77.495675,-36.163355
'21-Oct-2021 12:25:50.657',1.786541,-9.163314,2.665904,41.410791,77.410741,-36.39732
'21-Oct-2021 12:25:50.676',2.070091,-9.200403,2.577369,41.801933,77.326996,-36.490665
'21-Oct-2021 12:25:50.695',2.174478,-9.213564,2.697309,42.171494,77.252882,-36.36056
'21-Oct-2021 12:25:50.714',2.044966,-9.104691,3.132803,42.860984,76.998348,-36.390787
'21-Oct-2021 12:25:50.733',2.04018,-8.848659,3.331707,43.846536,76.753056,-36.523979
'21-Oct-2021 12:25:50.752',2.39701,-9.062816,3.397509,44.547826,76.467485,-36.119697
'21-Oct-2021 12:25:50.771',2.709573,-9.996614,3.55065,45.304361,76.414988,-35.506171
'21-Oct-2021 12:25:50.790',2.580061,-10.469197,3.958925,46.263163,76.309687,-35.027662
'21-Oct-2021 12:25:50.809',2.659024,-10.161719,4.717749,47.499174,76.10987,-34.749527
