Time Stamp,X_Acc,Y_Acc,Z_Acc,X_Orient,Y_Orient,Z_Orient
'04-Oct-2021 17:47:22.544',-0.459686,-1.857895,9.490616,-151.561215,6.677715,5.550972
'04-Oct-2021 17:47:22.553',-0.49321,-1.901001,9.552872,-152.194851,6.606032,5.357494
'04-Oct-2021 17:47:22.562',-0.541092,-1.929733,9.629486,-152.898402,6.529701,5.188883
'04-Oct-2021 17:47:22.571',-0.612915,-1.948883,9.667786,-153.520031,6.436287,5.047549
'04-Oct-2021 17:47:22.580',-0.646439,-2.011124,9.682144,-154.20055,6.315581,4.93074
'04-Oct-2021 17:47:22.589',-0.660797,-2.025497,9.629486,-154.827903,6.168395,4.835582
'04-Oct-2021 17:47:22.598',-0.646439,-1.996765,9.447525,-155.527041,5.999192,4.747273
'04-Oct-2021 17:47:22.607',-0.560242,-1.905777,9.294296,-156.163929,5.825705,4.644093
'04-Oct-2021 17:47:22.616',-0.584183,-1.795654,9.270355,-156.860212,5.674043,4.513766
'04-Oct-2021 17:47:22.625',-0.646439,-1.618484,9.255981,-157.476281,5.550279,4.351233
'04-Oct-2021 17:47:22.634',-0.737411,-1.546661,9.198517,-158.152197,5.454264,4.163176
'04-Oct-2021 17:47:22.643',-0.8284,-1.522705,9.212891,-158.748841,5.38477,3.96149
'04-Oct-2021 17:47:22.652',-0.842758,-1.484406,9.179367,-159.43462,5.330535,3.764138
'04-Oct-2021 17:47:22.661',-0.780502,-1.412582,9.203308,-160.036646,5.280053,3.581552
'04-Oct-2021 17:47:22.670',-0.617706,-1.3647,9.217682,-160.718641,5.227811,3.41213
'04-Oct-2021 17:47:22.679',-0.440536,-1.307236,9.375687,-161.303892,5.163935,3.247116
'04-Oct-2021 17:47:22.688',-0.378281,-1.283295,9.500198,-161.931546,5.077784,3.08282
'04-Oct-2021 17:47:22.697',-0.435745,-1.340759,9.504974,-162.456678,4.966515,2.930852
'04-Oct-2021 17:47:22.706',-0.588974,-1.3647,9.524139,-163.037503,4.838516,2.809732
'04-Oct-2021 17:47:22.715',-0.73262,-1.374268,9.471466,-163.528102,4.703122,2.723526
'04-Oct-2021 17:47:22.724',-0.799667,-1.355118,9.275131,-164.10095,4.571251,2.657464
'04-Oct-2021 17:47:22.733',-0.756561,-1.273712,9.155426,-164.602792,4.459191,2.60356
'04-Oct-2021 17:47:22.742',-0.646439,-1.149216,9.078812,-165.206799,4.376153,2.559626
'04-Oct-2021 17:47:22.751',-0.454895,-1.024719,9.184158,-165.713694,4.319153,2.520063
'04-Oct-2021 17:47:22.760',-0.363922,-0.900223,9.25119,-166.31023,4.275449,2.481145
'04-Oct-2021 17:47:22.769',-0.282516,-0.90979,9.265564,-166.780447,4.241701,2.445071
'04-Oct-2021 17:47:22.778',-0.287308,-0.972046,9.351746,-167.338474,4.215,2.420745
'04-Oct-2021 17:47:22.787',-0.368713,-1.053452,9.471466,-167.763216,4.189457,2.41275
'04-Oct-2021 17:47:22.796',-0.464478,-1.177948,9.528915,-168.249484,4.160059,2.422695
'04-Oct-2021 17:47:22.805',-0.507568,-1.307236,9.619904,-168.668134,4.124758,2.447212
'04-Oct-2021 17:47:22.814',-0.502777,-1.331177,9.682144,-169.139294,4.082386,2.482897
'04-Oct-2021 17:47:22.823',-0.450104,-1.288086,9.696518,-169.570689,4.03956,2.520207
'04-Oct-2021 17:47:22.832',-0.421387,-1.254562,9.739609,-170.035729,3.997977,2.545997
'04-Oct-2021 17:47:22.841',-0.39743,-1.187531,9.749191,-170.45401,3.954988,2.544822
'04-Oct-2021 17:47:22.850',-0.311249,-1.106125,9.619904,-170.886552,3.921121,2.518221
